,incidencia,refracao_1,refracao_2,sin_inc,sin_ref_1,sin_ref_2
0,0,0.0,0,0.0,0.0,0.0
1,10,6.5,15,0.17364817766693033,0.11320321376790672,0.25881904510252074
2,20,13.0,31,0.3420201433256687,0.224951054343865,0.5150380749100542
3,30,19.5,48,0.49999999999999994,0.3338068592337709,0.7431448254773942
4,40,25.5,73,0.6427876096865393,0.43051109680829514,0.9563047559630354
5,50,31.0,50,0.766044443118978,0.5150380749100542,0.766044443118978
6,60,35.5,60,0.8660254037844386,0.5807029557109398,0.8660254037844386
7,70,39.5,70,0.9396926207859083,0.636078220277764,0.9396926207859083
8,80,42.0,80,0.984807753012208,0.6691306063588582,0.984807753012208
9,90,90.0,90,1.0,1.0,1.0
